"Theme";"Question";"Reponse_Correcte";"Reponse_Incorrecte_1";"Reponse_Incorrecte_2";"Reponse_Incorrecte_3"
"Corps humain";"Combien de dents de lait sont remplacées à partir de 6 ans par 32 dents définitives ?";"20";"14";"26";"32"
"Corps humain";"Combien de paires de côtes constitue la partie avant du squelette humain ?";"12";"24";"6";"32"
"Corps humain";"Quelle partie du corps humain protège la partie inférieure du tube digestif ?";"Coccyx";"Sternum";"Tibia";"Tarse"
"Corps humain";"De manière générale, quel pourcentage du poids du corps les muscles représentent-ils ?";"35 %";"25 %";"45 %";"55 %"
"Corps humain";"Combien de globules rouges peut-on retrouver dans une simple goutte de sang ?";"5,000,000";"600,000";"90,000";"7,000"
"Corps humain";"Quelle est la durée de vie moyenne d'un globule rouge dans l'organisme ?";"4 mois";"3 semaines";"2 jours";"1 heure"
"Corps humain";"Quelle quantité de nourriture un adulte consomme-t-il environ chaque année ?";"500 kilos";"200 kilos";"800 kilos";"1 tonne"
"Corps humain";"À combien a été mesurée la vitesse record d'un éternuement ?";"165 km/h";"145 km/h";"125 km/h";"105 km/h"
"Corps humain";"Quelle quantité d'eau perd-on environ par jour en respirant ?";"1 litre";"2 litres";"3 litres";"4 litres"
"Corps humain";"Combien de poils comptabilise-t-on environ sur la surface de la peau d'un adulte ?";"1 million";"2 millions";"3 millions";"4 millions"
"Corps humain";"Lequel de ces gaz n'est pas un gaz essentiel du corps humain ?";"Sarin";"Oxygène";"Carbone";"Hydrogène"
"Corps humain";"Combien de cheveux perdons-nous chaque jour en moyenne ?";"80";"170";"240";"390"
"Corps humain";"La main d'un individu adulte comporte combien d'os ?";"26";"20";"32";"40"
"Corps humain";"De combien d'os le squelette du bébé, sorti du ventre de sa mère, est-il constitué ?";"350";"250";"150";"450"
"Corps humain";"Environ combien de globules sanguins meurent chaque seconde dans notre organisme ?";"2,000,000";"10,000";"900";"300,000"
"Corps humain";"Quel très long muscle va de l'extérieur de la hanche à la face interne du genou ?";"Sartorius";"Biceps";"Tibial";"Fléchisseur"
"Corps humain";"En combien de temps un globule rouge fait-il le tour complet de notre corps ?";"1 minute";"1 seconde";"1 heure";"1 jour"
"Corps humain";"Combien de litres de salive produit-on en moyenne chaque jour ?";"1.5";"3";"4.5";"6"
"Corps humain";"Quel muscle situé au fond de l'oreille ne mesure que 2 millimètres de long ?";"Stapédien";"Temporal";"Orbiculaire";"Zygomatique"
"Corps humain";"Au repos, combien de litres d'air un adulte inspire-t-il et expire-t-il par minute ?";"6";"4";"8";"10"
"Corps humain";"Des pieds à la tête, combien de muscles squelettiques compte notre corps ?";"600";"400";"200";"800"
"Corps humain";"En moyenne, combien de fois le coeur bat-il au cours d'une vie entière ?";"3 milliards";"500 millions";"300 mille";"6 milliards"
"Corps humain";"Quelle est la durée de vie maximum d'un cheveu poussant sur la tête d'un individu ?";"5 ans";"3 ans";"1 an";"6 mois"
"Chocolat";"À partir de la fève de quel arbre le chocolat est-il produit ?";"Cacaoyer";"Pacanier";"Cotonnier";"Palmier"
"Chocolat";"Quel beurre est extrait de la pâte de cacao liquide servant à la création du chocolat ?";"Beurre de cacao";"Saindoux";"Beurre salé";"Beurre gras"
"Chocolat";"Que fait-on quand on torréfie les fèves de cacao pour la préparation du chocolat ?";"On les grille";"On les écrase";"On les épluche";"On les tord"
"Chocolat";"Quel chocolat, parfois mélangé avec des épices, contient le moins de sucre ?";"Noir";"Blanc";"Au lait";"Praliné"
"Chocolat";"En 1825, quel Suisse a créé une désormais célèbre fabrique de chocolat ?";"Suchard";"Lindt";"Tobler";"Jacobs"
"Chocolat";"Que provoque la consommation de chocolat chez la plupart des animaux de compagnie ?";"Mort";"Paralysie";"Cécité";"Diabète"
"Chocolat";"Quel chocolat, riche en acides gras saturés, est le plus amer ?";"Noir";"Au lait";"Praliné";"Blanc"
"Chocolat";"Qui incarne la chocolatière dans le film adapté du roman « Le chocolat » de Joanne Harris ? ";"Juliette Binoche";"Isabelle Adjani";"Karin Viard";"Judith Godrèche"
"Chocolat";"Comment appelle-t-on le fruit du cacaoyer, se présentant sous la forme d'une baie ?";"Cabosse";"Caboche";"Ciboulot";"Carabosse"
"Chocolat";"Quel chocolat, généralement préféré par les puristes, ne contient pas de lait ?";"Noir";"Blanc";"Au lait";"Praliné"
"Chocolat";"De quel peuple le chocolat serait-il originaire, l'associant à leur dieu de la fertilité ?";"Mayas";"Incas";"Toltèques";"Otomis"
"Chocolat";"Combien trouve-t-on environ de fèves de cacao dans une cabosse ?";"Une quarantaine";"Une dizaine";"Une centaine";"Un millier"
"Chocolat";"Quel est le premier pays producteur de cacao, loin devant le Ghana et l'Indonésie ?";"Côte d'Ivoire";"Brésil";"Mexique";"Cameroun"
"Chocolat";"Quel élément différencie le chocolat blanc des autres chocolats ?";"La pâte de cacao";"Le lait";"Le beurre";"Le sucre"
"Chocolat";"Dans quel pays a été fabriquée la première tablette de chocolat ?";"Angleterre";"Suisse";"Brésil";"Mexique"
"Chocolat";"Combien peut-on faire de récoltes par an sur un cacaoyer en bonne santé ?";"Deux";"Quatre";"Six";"Huit"
"Chocolat";"Quel pays européen est à ce jour le plus grand consommateur de chocolat ?";"Suisse";"Belgique";"France";"Portugal"
"Chocolat";"De quel pays le cacaoyer, domestiqué il y a environ 3 000 ans, est-il originaire ?";"Mexique";"Bolivie";"Mozambique";"Madagascar"
"Chocolat";"Quel chocolat, devant contenir au minimum 20 % de beurre de cacao, est le plus sucré ?";"Blanc";"Noir";"Praliné";"Au lait"
"Chocolat";"Combien de cabosses un cacaoyer peut-il produire en moyenne durant son existence ?";"20";"200";"2 000";"20 000"
"Chocolat";"Pour les préliminaires de quel événement les Mayas se servent-ils du chocolat ?";"Mariage";"Décès";"Naissance";"Sacrifice"
"Chocolat";"Quelle civilisation précolombienne a la première cultivé le cacao ?";"Olmèques";"Africains";"Berbères";"Aztèques"
"Chocolat";"Dans quel pays d'Europe a-t-on commencé à consommer du chocolat ?";"Espagne";"Italie";"Belgique";"France"
"Chocolat";"Combien de fleurs un cacaoyer peut-il produire annuellement ?";"100 000";"10 000";"1 000";"100"
"Chocolat";"Quel explorateur a rapporté le cacao en Europe en 1528 ?";"Cortés";"Christophe Colomb";"Charcot";"Foucauld"
"Chocolat";"Quel chocolat noir est issu de cacao d'une seule plantation ?";"Grand cru";"Origine";"Premier choix";"Label rouge"
"Chocolat";"Quelle substance est obtenue après broyage des fèves du cacaoyer ?";"Masse";"Tasse";"Crasse";"Nasse"
"Chocolat";"Une fois la masse de cacao pressée, quel produit permet de faire du cacao en poudre ?";"Tourteau";"Crabe";"Homard";"Crevette"
"Chocolat";"Laura Esquivel, écrivaine mexicaine contemporaine, a publié un livre intitulé...";"« Chocolat amer »";"« Chocolat noir »";"« Chocolat au lait »";"« Chocolat blanc »"
"Chocolat";"Dans quel rayon BD peut-on trouver l'album « Fraise et chocolat » ?";"Érotique";"Jeunesse";"Humour";"Aventure"
"Linux";"Quel programmeur a créé et continue de diriger le développement du noyau de Linux ?";"Linus Torvalds";"Steeve Jobs";"Larry Ellison";"Bill Gates"
"Linux";"Quel est le principal atout de Linux, développé et maintenu par Linus Torvalds ?";"Il est libre";"Il est beau";"Il est Finlandais";"Il est amusant"
"Linux";"Quel animal représentant Linux est aussi la mascotte de l'université d'Helsinki ?";"Manchot";"Marmotte";"Caribou";"Gnou"
"Linux";"Quelle commande Linux, basée sur la commande UNIX, permet d'effacer un fichier ?";"Rm";"Rem";"Del";"Delete"
"Linux";"Laquelle de ces propositions désigne une distribution Linux fondée en 1993 ?";"Red Hat";"Zubuntu";"Souze";"Mandrika"
"Linux";"Quel système d'exploitation mobile majeur de l'industrie s'appuie sur un noyau Linux ?";"Android";"iOS";"Windows Phone";"BlackBerry 10"
"Linux";"Sous Linux, comment appelle-t-on les logiciels assemblés autour du noyau ?";"Distribution";"Progiciel";"Intégré";"Logithèque"
"Linux";"Quel serveur web présent sous Linux est aussi présent sur les serveurs du monde entier ?";"Apache";"Comanche";"Sioux";"Mohican"
"Linux";"Quel est le nom de la mascotte de Linux, connue des mordus du système d'exploitation ?";"Tux";"Wilber";"Gnu";"Puffy"
"Linux";"Parmi ces commandes Linux, laquelle affiche à l'écran le contenu d'un fichier texte ?";"Cat";"Type";"Man";"Ls"
"Linux";"En quelle année Linus Torvalds a-t-il livré la première version du noyau Linux ?";"1991";"1993";"1995";"1997"
"Linux";"Quel ancien mot bantou désigne une célèbre distribution Linux ?";"Ubuntu";"Gentoo";"Mandriva";"Fedora"
"Linux";"Quel navigateur web et gestionnaire de fichiers est utilisé par défaut pour KDE ?";"Konqueror";"Firefox";"Netscape";"Chrome"
"Linux";"Quel nom porte la distribution française de Linux, simple à installer et à utiliser ?";"Mandriva";"Debian";"SUSE";"Slackware"
"Linux";"Quel type de fichiers est pris en compte par le gestionnaire de paquets intégré à Ubuntu ?";".deb";".dev";".rss";".rpm"
"Linux";"Sous Linux, quelle commande est utilisée pour créer un compte utilisateur ?";"Useradd";"Adduser";"Passwd";"Mkaccount"
"Linux";"De quel projet sont tirés les outils gravitant autour de Linux ?";"GNU";"BSD";"Mimix";"iOS"
"Linux";"De quelle distribution Linux est dérivé le système d'exploitation Ubuntu ?";"Debian";"Red Hat";"Slackware";"Fedora"
"Linux";"Quelle est la plus ancienne distribution Linux encore maintenue à ce jour ?";"Slackware";"Ubuntu";"Red Hat";"Mandriva"
"Linux";"Quel environnement graphique de type « fenêtré » est utilisé sous Linux ?";"X Window";"K Window";"Z Window";"L Window"
"Linux";"Quel programmeur et militant du logiciel libre a créé le Projet GNU en 1984 ?";"Richard Stallman";"Linus Torvalds";"John Neumann";"Alan Cox"
"Linux";"Quel lecteur multimédia ressemblant à « Winamp » est souvent utilisé sous Linux ?";"XMMS";"Mplayer";"Tomahawk";"Spotify"
"Linux";"Quelle société financée par le sud-africain Mark Shuttleworth commandite Ubuntu ?";"Canonical";"Pentax";"Panasonic";"Nikon"
"Linux";"Avec quel acteur du monde Linux la société Microsoft a-t-elle signé un important accord ?";"SUSE";"Red Hat";"Ubuntu";"Mandriva"
"Linux";"La station spatiale internationale a abandonné Windows au profit de quelle distribution Linux ?";"Debian";"SUSE";"Red Hat";"Ubuntu"
"Linux";"À ce jour, quel pays utilise le plus régulièrement GNU/Linux comme système pour ses bureaux ?";"Cuba";"Venezuela";"Kenya";"Finlande"
"Linux";"Quel graphiste a dessiné en 1996 le manchot Tux initial, mascotte du projet Linux ?";"Larry Ewing";"Jeffrey Lynch";"Rob Janoff";"Wes Wilson"
"Linux";"Lequel de ces jeux tourne nativement sous GNU/Linux ?";"« Quake III Arena »";"« Super Mario Kart »";"« Zelda »";"« Splinter Cell »"
"Linux";"Quelle console de jeu open source possède un système d'exploitation Linux compilé ?";"Pandora";"Game Gear";"N-Gage";"GP32"
"Linux";"Comment fut initialement appelé le projet Linux, devenu par la suite une marque ?";"Freax";"Serval";"Panther";"Longhorn"
"Microsoft";"Dans quelle ville se situait en 2018 le siège social de Microsoft ?";"Redmond";"New-York";"Paris";"Londres"
"Microsoft";"Quel nom porte la console de jeux vidéo conçue par Microsoft ?";"Xbox";"Wii";"PlayStation";"Game Gear"
"Microsoft";"Qui est, avec Bill Gates, le cofondateur de la société Microsoft ?";"Paul Allen";"Larry Ellison";"Elon Musk";"Alex Spanos"
"Microsoft";"Quel célèbre simulateur de vol pour PC a été conçu par Microsoft ?";"Flight Simulator";"Fight Simulator";"Freight Simulator";"Fog Simulator"
"Microsoft";"Quel nom a été choisi par Microsoft pour la commercialisation de son smartphone ?";"Lumia";"Loumnia";"Lomna";"Loubna"
"Microsoft";"Quel système d'exploitation fut commercialisé entre Windows 98 et Windows XP ?";"Windows ME";"Windows TE";"Windows RE";"Windows VE"
"Microsoft";"Quel service de stockage en ligne a été inventé par la société Microsoft ?";"OneDrive";"TwoDrive";"ThreeDrive";"FourDrive"
"Microsoft";"Quel est le nom de la tablette conçue par les designers de chez Microsoft ?";"Surface";"Hurricane";"Storm";"Tabsoft"
"Microsoft";"En quelle année la multinationale Microsoft Corporation a-t-elle été fondée ?";"1975";"1985";"1995";"2005"
"Microsoft";"Quel mot se cache derrière la lettre O du système d'exploitation MS-DOS ?";"Operating";"Operator";"Opera";"Opale"
"Microsoft";"Qui a remplacé Bill Gates comme Chief Executive Officer en janvier 2000 ?";"Steve Ballmer";"Steve Jobs";"Steve Stones";"Satya Nadella"
"Microsoft";"Quel est le prénom de la femme de Bill Gates, née à Dallas en 1964 ?";"Melinda";"Melissa";"Melanie";"Mandy"
"Microsoft";"Quelle somme Bill Gates va-t-il dépenser pour combattre le réchauffement climatique ?";"2 milliards";"1 milliard";"500 millions";"150 millions"
"Microsoft";"De combien le nombre d'employés de Microsoft a-t-il évolué de 2005 à 2014 ?";"Doublé";"Triplé";"Quadruplé";"Quintuplé"
"Microsoft";"En quelle année la société Microsoft a-t-elle acheté le logiciel Skype ?";"2011";"2001";"2008";"2009"
"Microsoft";"Quelle est la signification des lettres RT du nom de produit Windows RT ?";"Officiellement aucune";"RunTime";"RogueTime";"RandTime"
"Microsoft";"Quel matériel peut contrôler une interface sans utiliser de manette ?";"Kinect";"Xbox Gun";"PowerShot";"Konect"
"Microsoft";"Après combien d'années le successeur de Windows XP a-t-il été commercialisé ?";"5 ans";"3 ans";"4 ans";"6 ans"
"Microsoft";"Quelle interface graphique a remplacé le thème Luna de Windows XP ?";"Aero";"Zorro";"Rollo";"Doro"
"Microsoft";"En 2019, combien de fois Microsoft a-t-il adapté son logo depuis sa création ?";"4 fois";"3 fois";"2 fois";"1 fois"
"Microsoft";"Quelle est la forme du logo aux teintes bleutées de Cortana ?";"Ronde";"Carrée";"Rectangulaire";"Ovale"
"Microsoft";"Quel budget de communication fut associé au lancement du moteur de recherche Bing ?";"90 millions";"30 millions";"15 millions";"65 millions"
"Microsoft";"Quel projet de réalité augmentée a été présenté par Microsoft ?";"Skinput";"Skinproject";"Skinfall";"Tinyput"
"Microsoft";"De combien de branches techniques la gamme Windows est-elle composée ?";"Cinq";"Quatre";"Trois";"Deux"
"Microsoft";"Quel concurrent Microsoft a-t-il condamné lors de la sortie de Internet Explorer 3.0 ?";"Netscape";"NetView";"NetBrowser";"NetPlan"
"Microsoft";"Quelle entreprise, connue pour son jeu Minecraft, a été rachetée par Microsoft ?";"Mojang";"Mojing";"Mojung";"Motang"
"Microsoft";"Quel est le nom de code du projet associé au navigateur internet Microsoft Edge ?";"Spartan";"John";"Runny";"Ben"
"Microsoft";"Quelle section du magasin en ligne de Microsoft a été supprimée en juillet 2019 ?";"Ebooks";"ChromeBooks";"Tbooks";"WinBooks"
"Microsoft";"Quel est le petit nom donné au bracelet de sport commercialisé par Microsoft ?";"Microsoft Band";"Microsoft Bracelet";"Microsoft Lace";"Microsoft Pace"
"Microsoft";"Quelle est la surface approximative du Microsoft Redmond Campus ?";"80 km²";"8 km²";"900 000 m²";"100 000 m²"
"Méandres du web";"Comment appelle-t-on une personne qui utilise Internet pour visiter des sites web ?";"Internaute";"Webmaster";"Navigateur";"Butineur"
"Méandres du web";"Sur Internet, « Google », « Bing » et « Yahoo » sont des exemples de moteurs de...";"Recherche";"Courrier";"Sauvegarde";"Navigation"
"Méandres du web";"Quel symbole typographique est toujours représenté dans les adresses e-mails ?";"Arobase";"Esperluette";"Astérisque";"Croisillon"
"Méandres du web";"Quelle encyclopédie collaborative est actuellement la plus utilisée sur Internet ?";"« Wikipédia »";"« Framasoft »";"« Pandocréon »";"« Netalya »"
"Méandres du web";"Que sont « Google Chrome », « Internet Explorer » et « Mozilla Firefox » ?";"Navigateurs";"Encyclopédies";"Moteurs";"Routeurs"
"Méandres du web";"Quel logiciel est indispensable pour protéger votre ordinateur sur Internet ?";"Antivirus";"Chat";"Navigateur";"Messagerie"
"Méandres du web";"Comment désigne-t-on un passionné d'Internet et des nouvelles technologies ?";"Geek";"Hacker";"No life";"Butineur"
"Méandres du web";"Quels outils permettent de mettre en mémoire une adresse web pour y revenir ?";"Favoris";"Onglets";"Adresses";"Extensions"
"Méandres du web";"Comment appelle-t-on généralement une discussion instantanée passée sur Internet ?";"Chat";"Spam";"Cookie";"Hoax"
"Méandres du web";"Quelle connexion sans fil pouvez-vous utiliser pour surfer plus facilement sur Internet ?";"Wi-Fi";"ADSL";"Fibre";"RNIS"
"Méandres du web";"Quelle box est reliée à votre ordinateur pour vous connecter à Internet ?";"Modem";"Wi-Fi";"Serveur";"Routeur"
"Méandres du web";"Quel mot français est désormais utilisé pour traduire le mot e-mail ?";"Courriel";"Progiciel";"Enveloppe";"Navigateur"
"Méandres du web";"Sur quel média sont enregistrés les sites web que vous visitez depuis votre ordinateur ?";"Serveur";"Modem";"Wi-Fi";"CD-ROM"
"Méandres du web";"Que signifie le deuxième w du www utilisé dans les adresses de sites internet ?";"Wide";"World";"Worse";"Web"
"Méandres du web";"De combien de mégaoctets avez-vous besoin pour obtenir un gigaoctet ?";"1 024";"100";"49";"10 000"
"Méandres du web";"Quel nom portait le précédent navigateur Internet devenu « Microsoft Edge » ?";"« Internet Explorer »";"« Safari »";"« Chrome »";"« Firefox »"
"Méandres du web";"Sur Internet, que signifie l'extension « .com » que l'on peut retrouver dans une adresse web ?";"Commercial";"Communication";"Communautaire";"Commémoration"
"Méandres du web";"Lequel de ces outils ne permet pas de visionner des pages web ?";"« Acrobat Reader »";"« Mozilla Firefox »";"« Google Chrome »";"« Internet Explorer »"
"Méandres du web";"Comment appelle-t-on un e-mail non sollicité reçu depuis Internet ?";"Spam";"Cookie";"Hoax";"Bug"
"Méandres du web";"Quel spécialiste de l'informatique est capable de pirater presque n'importe quel site Internet ?";"Hacker";"Driver";"Cracker";"Surfeur"
"Méandres du web";"Grâce à quoi tous les ordinateurs sur Internet sont-ils plus ou moins facilement repérables ?";"Adresse IP";"Bornage";"Écran";"Antivirus"
"Méandres du web";"Quelle extension ajoutée à votre navigateur Internet préféré accentue ses possibilités ?";"Plug-in";"Backup";"Spool";"Byte"
"Méandres du web";"Comment appelle-t-on les canulars transmis par messagerie électronique ou via Internet ?";"Hoax";"Bug";"Cookie";"Virus"
"Méandres du web";"De plus en plus de sites enregistrent sur votre ordinateur un témoin de passage appelé...";"Cookie";"Spam";"Cupcake";"Modem"
"Méandres du web";"En quelle année a été envoyé le tout premier courriel ou courrier électronique ?";"1971";"1961";"1981";"1991"
"Méandres du web";"Quelle opération informatique illicite consiste à copier un site Internet sur son ordinateur ?";"Aspiration";"Copie";"Sauvegarde";"Gravure"
"Méandres du web";"Quelle abréviation est utilisée pour désigner une adresse de site Internet ?";"URL";"TCP";"MP3";"KBD"
"Méandres du web";"Quel anniversaire le World Wide Web a-t-il fêté en 2014 ?";"Ses 25 ans";"Ses 15 ans";"Ses 35 ans";"Ses 45 ans"
"Méandres du web";"Quel protocole est dédié à la transmission de fichiers sur Internet ?";"FTP";"HTTP";"TCP/IP";"IPX/SPX"
"Méandres du web";"Quel terme désigne le code de bonne conduite sur Internet ?";"Nétiquette";"Reboot";"Phishing";"Hameçonnage "
"Géants du web";"Quelle entreprise a été créée dans le garage de la maison d'enfance de Steve Jobs ?";"Apple";"Microsoft";"Logitech";"Netflix"
"Géants du web";"Quelle plateforme payante de location de logements de particuliers fut fondée en 2007 ?";"Airbnb";"Hospitality";"Tripping";"Gloveler"
"Géants du web";"Quel réseau social fut d'abord réservé aux étudiants de l'université d'Harvard ?";"Facebook";"LinkedIn";"Viadeo";"Yammer"
"Géants du web";"Quelle entreprise de 1998 s'est fait connaître par son moteur de recherche simplifié ?";"Google";"Adobe";"Symantec";"Oracle"
"Géants du web";"Quelle entreprise de Los Gatos propose des séries télévisées en flux continu sur Internet ?";"Netflix";"Picasa";"Spotify";"Megaupload"
"Géants du web";"Sur quel réseau social de microblogage les messages sont-ils limités à 280 caractères ?";"Twitter";"Friendster";"Edmodo";"Tumblr"
"Géants du web";"Quel site web de commerce électronique est basé sur le concept d'achat groupé ?";"Groupon";"Shopify";"Yingo";"Vinted"
"Géants du web";"Quel site offre des avis et des conseils touristiques émanant de consommateurs ?";"TripAdvisor";"Expedia";"Gray Line";"Carlson"
"Géants du web";"Quel service de partage de photos et de vidéos appartient à Facebook ?";"Instagram";"Snapchat";"Flickr";"Picasa"
"Géants du web";"Quel site web d'hébergement de vidéos a été racheté par Google en 2006 ?";"YouTube";"Blip";"Cloudflare";"Vimeo"
"Géants du web";"Quelle entreprise fondée par Jeff Bezos avait pour spécialité initiale la vente de livres ?";"Amazon";"Kapaza";"Booking";"Pixmania"
"Géants du web";"Quel service en ligne permet de payer avec un e-mail et un mot de passe ?";"PayPal";"Stripe";"Payline";"Ingenico"
"Géants du web";"Quelle entreprise met en contact des conducteurs se mettant à votre service ?";"Uber";"Asus";"Tesla";"Oppo"
"Géants du web";"Quel annuaire Web fut créé par David Filo et Jerry Yang à l'université Stanford en 1994 ?";"Yahoo!";"Lycos";"Bing";"AltaVista"
"Géants du web";"Quelle entreprise allemande gère un comparateur d'hôtels sur Internet ?";"Trivago";"Kelkoo";"Liligo";"Next Impact"
"Géants du web";"Quel réseau social fut racheté par Microsoft en 2016 pour 23 milliards d'euros ?";"LinkedIn";"Palm";"Uber";"Verisign"
"Géants du web";"Quelle appli de SMS est utilisée par un milliard de personnes ?";"WhatsApp";"Gajim";"Spark";"Jabbin"
"Géants du web";"Quel service de partage de copies de fichiers locaux a été co-fondé par Drew Houston ?";"Dropbox";"MediaFire";"RapidShare";"Playbuzz"
"Géants du web";"Quel site de réservation d'hébergement Pricelice.com a-t-elle racheté en 2005 ?";"Booking.com";"TravelBird";"Agoda";"Jumia Travel"
"Géants du web";"Quel site de ventes aux enchères a été créé par le Français Pierre Omidyar ?";"eBay";"iBazar";"Aucland";"Artnet"
"Géants du web";"Quel acronyme est apparu au milieu des années 2000 pour désigner les géants du Web ?";"GAFA";"AJAX";"CMOS";"FIFO"
"Géants du web";"Quel homme d'affaires chinois est devenu le premier marchand en ligne au monde ?";"Jack Ma";"Gordon Wu";"Stanley Ho";"Victor Li"
"Géants du web";"Dans quel pays se trouve le siège social du service de streaming Spotify ?";"Suède";"États-Unis";"Canada";"Japon"
"Géants du web";"Avec qui Bill Gates a-t-il fondé en 1975 la multinationale informatique Microsoft ?";"Paul Allen";"Steve Ballmer";"Satya Nadella";"Steve Jobs"
